### 详细版
1. 欧阳锋叔侄要求周伯通默写《九阴真经》，周伯通被逼跳海（实际未死）
2. 欧阳锋威胁郭靖写经，洪七公识破酒菜下毒阴谋并巧妙应对
3. 欧阳锋用毒蛇阵围困洪七公和郭靖在桅杆上，二人苦熬多日
4. 郭靖放飞白雕向黄蓉求救，白雕成功传递信息
5. 洪七公设计让郭靖写假《九阴真经》欺骗欧阳锋，将经文内容颠倒窜改
6. 洪七公下舱偷酒时意外发现欧阳锋叔侄打算烧船灭口的阴谋
7. 洪七公带着郭靖悄悄乘坐小艇逃离大船
8. 黄蓉驾船在白雕指引下赶来救援，跃上大船寻找郭靖
9. 欧阳锋抓住黄蓉作为人质威胁洪七公，洪七公与欧阳锋在着火大船上激烈打斗
10. 郭靖在小艇上与欧阳克打斗，使用双手互搏术折断欧阳克手臂
11. 郭靖救醒黄蓉，大船沉没，洪七公与欧阳锋仍在火海中激斗

### 简化版
1. 欧阳锋叔侄威胁周伯通和郭靖，想要获取《九阴真经》
2. 周伯通被逼跳海，郭靖被威胁写经
3. 洪七公设计让郭靖写假的《九阴真经》给欧阳锋
4. 洪七公发现欧阳锋烧船阴谋，与郭靖乘小艇逃脱
5. 黄蓉在白雕指引下赶来救援，被欧阳锋抓住为人质
6. 洪七公与欧阳锋在着火大船上激烈打斗
7. 郭靖在小艇上击败欧阳克，救醒黄蓉，大船沉没

### 极简版
1. 洪七公设计让郭靖写假《九阴真经》欺骗欧阳锋
2. 洪七公发现欧阳锋烧船阴谋，与郭靖乘小艇逃脱
3. 黄蓉赶来救援，洪七公与欧阳锋在着火大船上激斗
