【标题】
第二十二回 骑鲨遨游

【详细事件列表】
1. 黄蓉见欧阳锋将侄儿抱上岸，与郭靖回岩洞，洪七公分析当前三大难题
2. 郭靖背诵《九阴真经》中疗伤章内容，洪七公指出需七日七夜静养调息方可治愈
3. 洪七公说明第二难题是如何抵挡欧阳锋，第三难题是回归中土
4. 欧阳锋强占山洞养伤，郭靖忍气吞声，黄蓉设计用尿浸羊肉欺骗欧阳叔侄
5. 欧阳锋要求郭靖一夜砍伐百根木料，郭靖在后山施展降龙十八掌震树
6. 郭靖因功力不足难以完成任务，想起周伯通传授的空明拳，用金刀切割树木
7. 洪七公研读《九阴真经》有所领悟，开始练习功夫，功力逐渐恢复
8. 洪七公与郭靖设计假装功力恢复，用掌力将郭靖推撞大树，欺骗欧阳锋
9. 欧阳锋信以为真，回洞苦读《九阴真经》，洪七公教郭靖黄蓉练习易筋锻骨章
10. 郭靖黄蓉练功大有进境，木筏扎成，准备启航回归中土
11. 欧阳叔侄抢先登上木筏离岛，郭靖黄蓉用石弹轰击无效
12. 黄蓉异想天开跃上木筏，潜水割断绳索，使木筏在海上散开
13. 三人重新扎筏启航，为小岛起名明霞岛，顺风西行两日
14. 海上听到呼救声，发现是欧阳叔侄落水，洪七公坚持救人
15. 郭靖救起欧阳叔侄，欧阳锋趁机偷袭制服三人
16. 欧阳锋要挟洪七公说出《九阴真经》秘密，洪七公胡乱背诵骗他
17. 郭靖趁机反击，黄蓉相助，木筏上与欧阳锋激战
18. 黄蓉割断帆索，郭靖黄蓉跳海，试图翻转木筏对付欧阳锋
19. 欧阳锋威胁要杀死洪七公，黄蓉割断绳索将木筏分为两半
20. 大船驶来，原来是完颜洪烈等人，欧阳锋与郭靖等人被接上大船

【简要事件列表】
1. 洪七公分析当前三大难题：疗伤、抗敌、归国
2. 黄蓉设计骗欧阳锋吃尿浸羊肉，郭靖砍伐木料制筏
3. 洪七公假装功力恢复欺骗欧阳锋，众人练功扎筏准备归国
4. 欧阳叔侄抢先离岛，黄蓉潜水割绳智斗
5. 救起落水的欧阳叔侄，反被制服，后被完颜洪烈大船接走

【极简事件列表】
1. 众人荒岛制敌练功，设计欺骗欧阳锋
2. 扎筏归国途中遭欧阳叔侄抢先离岛
3. 洪七公救人反被制，终被完颜洪烈接走
