【标题】
第四十回 华山论剑

【详细事件列表】
1. 欧阳锋与洪七公在华山二次论剑，两人展开生死搏斗
2. 黄蓉在旁讥讽欧阳锋背信弃义，扰乱其心神
3. 欧阳锋心智混乱，被洪七公击中"地仓穴"，但仍反击击退洪七公
4. 洪七公承认欧阳锋武功天下第一，黄药师也无奈认输
5. 欧阳锋神智错乱，黄蓉设计让他与自己影子搏斗
6. 欧阳锋误认影子为敌，疯狂追逐搏斗，最终惊惧逃下山去
7. 黄药师提议郭靖与自己和洪七公分别比武，以公平决定胜负
8. 郭靖先与黄药师较量，黄药师用尽全力仅在三百招时击败郭靖
9. 郭靖与洪七公比武，洪七公本欲相让，但郭靖武功大进难分胜负
10. 洪七公最后使出"亢龙有悔"，郭靖也以同样招式相抗，两人双掌相抵
11. 洪七公怜才惜才，故意收力让郭靖获胜，成就其"武功天下第一"之名
12. 黄药师正式认可郭靖为女婿，邀请靖蓉二人同回桃花岛完婚
13. 郭靖黄蓉途中收到华筝公主飞雕传讯，告知蒙古将南侵大宋
14. 靖蓉二人在湖州遇到从山东青州逃来的客商，得知当地危急
15. 郭靖黄蓉前往青州助李全夫妇抗敌，发现忠义军内部混乱
16. 蒙古大军压境，郭靖假传圣旨，巧设空城计退敌
17. 拖雷领兵再来，郭靖黄蓉决定刺杀拖雷，但得知成吉思汗病重
18. 郭靖随拖雷北上见成吉思汗，成吉思汗病重垂危
19. 成吉思汗临终前与郭靖谈论英雄定义，被郭靖直言相谏
20. 成吉思汗听后吐血，当夜病逝于金帐之中
21. 郭靖黄蓉辞别拖雷南归，感慨世事无常，百姓苦难深重

【简要事件列表】
1. 华山二次论剑，欧阳锋击败洪七公、黄药师，但因神智错乱被黄蓉设计击败
2. 郭靖分别与黄药师、洪七公比武，最终被认定为"武功天下第一"
3. 黄药师正式认可郭靖为婿，靖蓉二人准备回桃花岛完婚
4. 靖蓉途中得知蒙古将南侵，前往青州助李全抗敌
5. 郭靖巧设空城计退蒙古军，但拖雷再来时得知成吉思汗病重
6. 郭靖随拖雷北上见成吉思汗，成吉思汗临终被郭靖直言相谏而吐血身亡
7. 靖蓉二人辞别拖雷南归，感慨世事无常

【极简事件列表】
1. 华山论剑，郭靖获"武功天下第一"之名
2. 成吉思汗病重，郭靖北上见最后一面
3. 成吉思汗临终被郭靖直言相谏而亡
