【标题】
第十八回 三道试题

【详细事件列表】
1. 郭靖跟踪数千青蛇队伍，发现西毒欧阳锋叔侄来到桃花岛求亲
2. 黄药师携黄蓉迎出，欧阳锋赠黄蓉"通犀地龙丸"作为见面礼
3. 黄蓉掷金针袭击欧阳克，欧阳锋出手相救，黄药师责打女儿
4. 欧阳锋展示养蛇绝技，黄药师以《碧海潮生曲》试探其武功
5. 洪七公突然出现，宣布已将黄蓉收为徒弟，并为郭靖黄蓉作媒
6. 黄蓉揭露欧阳克在赵王府欺侮自己的往事，激起父亲怜惜
7. 洪七公与欧阳锋比武，郭靖在一旁观摩学习，武功大进
8. 欧阳克暗算郭靖，黄蓉代挡银梭，郭靖情急下救黄蓉受伤
9. 黄药师提议以三道题目考较两位求婚者，公平择婿
10. 第一场比武：郭靖与欧阳克在松树上过招，郭靖以蒙古摔跤技法获胜
11. 第二场音律：黄药师以《碧海潮生曲》考较二人音律造诣
12. 郭靖不懂音律，却以扰乱节拍的方式与黄药师箫声相抗
13. 郭靖练过双手互搏术，分心二用，竟能与黄药师箫声抗衡
14. 黄药师曲终音歇，宣布此场郭靖获胜，但欧阳锋不服
15. 黄药师取出亡妻手书的《九阴真经》下卷，考较二人背诵
16. 欧阳克虽聪明但不识经义，只能死记硬背，效果甚微
17. 郭靖将周伯通所授经文全部背出，一字不差，令众人震惊
18. 黄药师怀疑亡妻显灵传授经文，确认郭靖为女婿人选
19. 欧阳克突然喝止，质疑郭靖曾偷看梅超风的《九阴真经》
20. 郭靖据实以答，黄药师最终认可这门亲事，正式许婚

【简要事件列表】
1. 欧阳锋叔侄来桃花岛求亲，黄药师设宴接待
2. 洪七公突然现身，宣布已收黄蓉为徒并为郭靖作媒
3. 黄药师设三道题目考较两位求婚者：比武、音律、背书
4. 郭靖在比武中考胜欧阳克，在音律中考出奇招，在背书中展现惊人记忆力
5. 黄药师确认郭靖为女婿，欧阳克不服欲阻拦

【极简事件列表】
1. 欧阳锋来岛求亲，洪七公现身作媒
2. 三场比试，郭靖胜出获黄药师认可
3. 欧阳克质疑，婚事暂未定论
