【标题】
第七回 比武招亲

【详细事件列表】
1. 江南六怪与郭靖离开大漠草原，向东南进发，接近张家口
2. 郭靖骑小红马疾驰，发现马肩出血，误以为爱马受伤
3. 四个白衣男子骑白骆驼来到饭店，其中一人是女子男装打扮
4. 韩宝驹检查后发现是汗血宝马，朱聪讲述汗血宝马的来历传说
5. 八个白衣女子（实为白驼山的人）计划夺取郭靖的宝马献给少主
6. 柯镇恶听到白驼山女子的阴谋，决定让郭靖先去嘉兴比武
7. 郭靖与六位师父分别，独自上路，南希仁叮嘱"打不过，逃！"
8. 郭靖遇到白驼山四女拦路夺马，红马跃过骆驼，郭靖甩掉追击
9. 郭靖到达张家口，在大酒店用餐时遇到衣衫褴褛的黄蓉
10. 黄蓉点满桌酒菜，郭靖慷慨买单，两人交谈甚欢
11. 黄蓉借故肚子饿，郭靖再请她去长庆楼用餐
12. 郭靖将汗血宝马送给黄蓉，黄蓉感动而哭
13. 郭靖回客栈休息，黄河四鬼和三头蛟侯通海找上门来寻仇
14. 侯通海威胁郭靖，约定次日中午在黑松林比武
15. 郭靖被困房中，次日被迫赴约，却发现黄河四鬼被吊在树上
16. 郭靖到达中都大兴府，见到繁华景象
17. 郭靖观看穆易父女比武招亲，红衣少女打败挑战者
18. 胖子和和尚先后挑战，但互相打了起来，被穆易制止
19. 小王爷完颜康出场挑战，与红衣少女穆念慈比武
20. 郭靖见不平，出手阻止完颜康轻薄穆念慈

【简要事件列表】
1. 郭靖获知小红马是汗血宝马，江南六怪决定让他先去嘉兴
2. 郭靖路遇黄蓉，慷慨请客并赠送宝马
3. 郭靖被黄河四鬼寻仇，赴约时发现对方被吊在树上
4. 郭靖到中都观看比武招亲，穆家父女寻人兼为女儿择婿
5. 小王爷完颜康挑战穆念慈，郭靖见义勇为出手阻止

【极简事件列表】
1. 郭靖获赠汗血宝马，与师父分别独自上路
2. 路遇黄蓉，慷慨赠马结为好友
3. 被黄河四鬼寻仇，发现对方被神秘人所制
4. 中都观比武招亲，阻止小王爷轻薄穆念慈
